insumo;arancel;unidad;cantidad;costo_total;fecha_estimada
insumo 1;100.23.45.67;Kilogramos;25,5;13443,6;2014/09/28 00:00:00.000
insumo 2;100.23.45.67;Kilogramos;25,5;13443,6;2014/09/29 00:00:00.000
insumo 3;100.23.45.67;Kilogramos;25,5;13443,6;2014/09/30 00:00:00.000
insumo 4;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/01 00:00:00.000
insumo 5;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/02 00:00:00.000
insumo 6;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/03 00:00:00.000
insumo 7;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/04 00:00:00.000
insumo 8;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/05 00:00:00.000
insumo 9;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/06 00:00:00.000
insumo 10;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/07 00:00:00.000
insumo 11;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/08 00:00:00.000
insumo 12;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/09 00:00:00.000
insumo 13;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/10 00:00:00.000
insumo 14;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/11 00:00:00.000
insumo 15;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/12 00:00:00.000
insumo 16;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/13 00:00:00.000
insumo 17;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/14 00:00:00.000
insumo 18;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/15 00:00:00.000
insumo 19;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/16 00:00:00.000
insumo 20;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/17 00:00:00.000
insumo 21;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/18 00:00:00.000
insumo 22;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/19 00:00:00.000
insumo 23;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/20 00:00:00.000
insumo 24;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/21 00:00:00.000
insumo 25;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/22 00:00:00.000
insumo 26;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/23 00:00:00.000
insumo 27;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/24 00:00:00.000
insumo 28;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/25 00:00:00.000
insumo 29;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/26 00:00:00.000
insumo 30;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/27 00:00:00.000
insumo 31;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/28 00:00:00.000
insumo 32;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/29 00:00:00.000
insumo 33;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/30 00:00:00.000
insumo 34;100.23.45.67;Kilogramos;25,5;13443,6;2014/10/31 00:00:00.000
insumo 35;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/01 00:00:00.000
insumo 36;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/02 00:00:00.000
insumo 37;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/03 00:00:00.000
insumo 38;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/04 00:00:00.000
insumo 39;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/05 00:00:00.000
insumo 40;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/06 00:00:00.000
insumo 41;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/07 00:00:00.000
insumo 42;100.23.45.67;Kilogramos;25,5;13443,6;2014/11/08 00:00:00.000
